import time: self [us] | cumulative | imported package
import time:       641 |       9489 |             antlr4.atn.LexerATNSimulator
import time:       425 |      10210 |           antlr4.Lexer
import time:       236 |      10446 |         antlr4.CommonTokenStream
import time:      1000 |       1000 |           antlr4.error.ErrorStrategy
import time:       322 |        322 |             antlr4.atn.ATNDeserializationOptions
import time:       666 |        987 |           antlr4.atn.ATNDeserializer
import time:       386 |        386 |             antlr4.ListTokenSource
import time:       272 |        272 |             antlr4.tree.Chunk
import time:       220 |        220 |             antlr4.tree.RuleTagToken
import time:       218 |        218 |             antlr4.tree.TokenTagToken
import time:       490 |       1583 |           antlr4.tree.ParseTreePatternMatcher
import time:       691 |       4260 |         antlr4.Parser
import time:       262 |        262 |         antlr4.dfa.DFA
import time:       440 |        440 |           antlr4.atn.PredictionMode
import time:       667 |       1106 |         antlr4.atn.ParserATNSimulator
import time:       265 |        265 |         antlr4.error.DiagnosticErrorListener
import time:       897 |      23598 |       antlr4
import time:       542 |        542 |           yaml.error
import time:       373 |        373 |           yaml.tokens
import time:       354 |        354 |           yaml.events
import time:       256 |        256 |           yaml.nodes
import time:      3392 |       3392 |             yaml.reader
import time:      1950 |       1950 |             yaml.scanner
import time:       746 |        746 |             yaml.parser
import time:       403 |        403 |             yaml.composer
import time:      1074 |       1074 |             yaml.constructor
import time:      1166 |       1166 |             yaml.resolver
import time:       562 |       9289 |           yaml.loader
import time:       574 |        574 |             yaml.emitter
import time:       322 |        322 |             yaml.serializer
import time:       496 |        496 |             yaml.representer
import time:       414 |       1805 |           yaml.dumper
import time:      1058 |       1058 |             yaml._yaml
import time:       438 |       1496 |           yaml.cyaml
import time:       614 |      14727 |         yaml
import time:       551 |        551 |         omegaconf.errors
import time:       276 |        276 |                 omegaconf.grammar
import time:       473 |        749 |               omegaconf.grammar.gen
import time:      3083 |       3832 |             omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      1655 |       1655 |             omegaconf.grammar.gen.OmegaConfGrammarParser
import time:       357 |        357 |             omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:       611 |       6453 |           omegaconf.grammar_visitor
import time:       725 |       7178 |         omegaconf.grammar_parser
import time:      1370 |      23824 |       omegaconf._utils
import time:      4565 |      51986 |     omegaconf.base
import time:       758 |        758 |       omegaconf.basecontainer
import time:       695 |        695 |       omegaconf.nodes
import time:      1063 |       2516 |     omegaconf.dictconfig
import time:       677 |        677 |     omegaconf.listconfig
import time:       430 |        430 |           omegaconf.resolvers.oc.dict
import time:       567 |        996 |         omegaconf.resolvers.oc
import time:       275 |       1270 |       omegaconf.resolvers
import time:      1109 |       2378 |     omegaconf.omegaconf
import time:       202 |        202 |     omegaconf.version
import time:      1414 |      59170 |   omegaconf
import time:      2070 |       2070 |           pydantic_core._pydantic_core
import time:      2125 |       2125 |             typing_extensions
import time:      8052 |      10177 |           pydantic_core.core_schema
import time:       679 |      12925 |         pydantic_core
import time:       307 |      13231 |       pydantic.version
import time:       643 |      13874 |     pydantic._migration
import time:       377 |        377 |         typing_inspection
import time:      1382 |       1382 |         typing_inspection.typing_objects
import time:      2171 |       3929 |       typing_inspection.introspection
import time:       305 |        305 |       pydantic._internal
import time:       655 |        655 |           pydantic._internal._namespace_utils
import time:       591 |       1246 |         pydantic._internal._typing_extra
import time:       555 |       1800 |       pydantic._internal._repr
import time:       773 |       6805 |     pydantic.errors
import time:       475 |      21154 |   pydantic
import time:       245 |        245 |       pydantic._internal._internal_dataclass
import time:      1029 |       1274 |     pydantic.aliases
import time:      1623 |       1623 |     pydantic.config
import time:       904 |       3799 |   pydantic._internal._config
import time:       519 |        519 |     pydantic._internal._core_utils
import time:       290 |        290 |       pydantic._internal._import_utils
import time:      1143 |       1433 |     pydantic._internal._utils
import time:      3768 |       5718 |   pydantic._internal._decorators
import time:       580 |        580 |       pydantic._internal._forward_ref
import time:       631 |       1211 |     pydantic._internal._generics
import time:       500 |        500 |     pydantic._internal._docs_extraction
import time:       504 |       2214 |   pydantic._internal._fields
import time:       773 |        773 |       pydantic.plugin
import time:       635 |       1408 |     pydantic.plugin._schema_validator
import time:       435 |       1842 |   pydantic._internal._mock_val_ser
import time:       576 |        576 |         zoneinfo._tzpath
import time:       283 |        283 |         zoneinfo._common
import time:       403 |        403 |         _zoneinfo
import time:       453 |       1714 |       zoneinfo
import time:       260 |        260 |       pydantic.annotated_handlers
import time:      4592 |       4592 |       pydantic.functional_validators
import time:       618 |        618 |         pydantic._internal._core_metadata
import time:       570 |        570 |         pydantic._internal._schema_generation_shared
import time:      2568 |       3755 |       pydantic.json_schema
import time:       494 |        494 |       pydantic._internal._discriminated_union
import time:       465 |        465 |       pydantic._internal._known_annotated_metadata
import time:       831 |        831 |       pydantic._internal._schema_gather
import time:      2160 |      14267 |     pydantic._internal._generate_schema
import time:       334 |        334 |     pydantic._internal._signature
import time:       612 |      15213 |   pydantic._internal._model_construction
import time:       497 |        497 |     upath._version
import time:       700 |        700 |                 _queue
import time:       528 |       1228 |               queue
import time:       496 |       1723 |             concurrent.futures.thread
import time:      1317 |       3039 |           fsspec.caching
import time:       464 |        464 |           fsspec._version
import time:      1435 |       1435 |           fsspec.callbacks
import time:      1328 |       1328 |                 _hashlib
import time:        69 |         69 |                 _blake2
import time:       780 |       2176 |               hashlib
import time:      1105 |       3280 |             fsspec.utils
import time:       699 |        699 |               fsspec.config
import time:       407 |        407 |               fsspec.dircache
import time:       426 |        426 |               fsspec.transaction
import time:      1585 |       3116 |             fsspec.spec
import time:        93 |         93 |             isal
import time:       719 |        719 |             gzip
import time:        82 |         82 |             lzmaffi
import time:        57 |         57 |             snappy
import time:        52 |         52 |               lz4
import time:        26 |         77 |             lz4.frame
import time:        51 |         51 |               compression
import time:        25 |         76 |             compression.zstd
import time:      2434 |       2434 |               zstandard.backend_c
import time:       486 |       2920 |             zstandard
import time:      1501 |      11918 |           fsspec.compression
import time:       522 |        522 |             fsspec.registry
import time:       887 |       1409 |           fsspec.core
import time:       510 |        510 |           fsspec.exceptions
import time:       609 |        609 |           fsspec.mapping
import time:     73366 |      92747 |         fsspec
import time:        77 |      92823 |       fsspec.registry
import time:       652 |        652 |       upath._compat
import time:       241 |        241 |             fsspec.implementations
import time:      1310 |       1551 |           fsspec.implementations.local
import time:      1233 |       2784 |         upath._flavour_sources
import time:       461 |        461 |         upath._protocol
import time:       752 |       3995 |       upath._flavour
import time:       430 |        430 |       upath._stat
import time:     14585 |      14585 |       upath.registry
import time:       840 |     113323 |     upath.core
import time:       551 |     114369 |   upath
import time:       631 |        631 |   src.utils.singleton
import time:      7938 |       7938 |     annotated_types
import time:       907 |        907 |     pydantic._internal._validators
import time:      5951 |       5951 |     pydantic.types
import time:      2572 |      17367 |   pydantic.fields
import time:       442 |        442 |   pydantic.plugin._loader
import time:     15378 |     257696 | src.utils.config_mngr
import time:       659 |        659 | src.utils.logger_factory
import time:      1021 |       1021 | antlr4.LL1Analyzer
import time:      1760 |       1760 | omegaconf._impl
import time:       466 |        466 | click._textwrap
                                                                                                                     
 Usage: cli.py [OPTIONS] COMMAND [ARGS]...                                                                           
                                                                                                                     
╭─ Options ─────────────────────────────────────────────────────────────────────────────────────────────────────────╮
│ --install-completion          Install completion for the current shell.                                           │
│ --show-completion             Show completion for the current shell, to copy it or customize the installation.    │
│ --help                        Show this message and exit.                                                         │
╰───────────────────────────────────────────────────────────────────────────────────────────────────────────────────╯
╭─ Commands ────────────────────────────────────────────────────────────────────────────────────────────────────────╮
│ config-info             Display current configuration and available API keys.                                     │
│ llm                     Invoke an LLM.                                                                            │
│ run                     Run a Runnable or directly invoke an LLM.                                                 │
│ list-models             List the known LLMs, embeddings models, and vector stores.                                │
│ llm-info-dump           Write a list of LLMs in YAML format to the specified file.                                │
│ embedd                  Invoke an embedder.                                                                       │
│ list-mcp-tools          Display information about available MCP tools.                                            │
│ similarity              Calculate semantic similarity between sentences using cosine similarity.                  │
│ list-mcp-prompts        Display information about available MCP prompts.                                          │
│ mcp-agent               Run a ReaAct agent connected to MCP Servers.                                              │
│ smolagents              Run a Smolagent agent possibly having tools.                                              │
│ ocr-pdf                 Process PDF files with Mistral OCR and save the results as markdown files.                │
│ gpt-researcher          Run GPT Researcher with configuration from gpt_researcher.yaml.                           │
│ browser-agent           Launch a browser agent to complete a given task.                                          │
│ fabric                  Run 'fabric' pattern on standard input.                                                   │
│ hash-password           Hash a password for use in the authentication config.                                     │
│ echo                    Echo the message (for test purpose)                                                       │
│ rainbow-extract         Extract structured project data from Markdown files and save as JSON.                     │
│ rainbow-generate-fake   Generate fake but realistic project review JSON files based on existing ones.             │
╰───────────────────────────────────────────────────────────────────────────────────────────────────────────────────╯
Usage: cli.py [OPTIONS] COMMAND [ARGS]...
Try 'cli.py --help' for help.
╭─ Error ───────────────────────────────────────────────────────────────────────────────────────────────────────────╮
│                                                                                                                   │
╰───────────────────────────────────────────────────────────────────────────────────────────────────────────────────╯
